probe	locus
Os.11396.1.S1_at	LOC_Os01g68060
Os.52250.1.A1_at	LOC_Os01g68070
Os.19434.1.S1_at	LOC_Os01g68104
OsAffx.2432.1.S1_at	LOC_Os01g68104
Os.49417.1.S1_at	LOC_Os01g68120
Os.10675.1.A1_at	LOC_Os01g68140
Os.9025.1.A1_s_at	LOC_Os01g68160
Os.9025.2.S1_at	LOC_Os01g68160
Os.47795.1.S1_at	LOC_Os01g68230
Os.33773.1.S1_at	LOC_Os01g68269
Os.42784.1.S1_at	LOC_Os01g68290
Os.11975.1.S1_at	LOC_Os01g68310
Os.12967.1.A1_a_at	LOC_Os01g68320
Os.12967.4.S1_x_at	LOC_Os01g68320
Os.9998.1.S1_at	LOC_Os01g68324
Os.9998.2.S1_x_at	LOC_Os01g68324
Os.27858.2.S1_x_at	LOC_Os01g68330
Os.7360.1.S1_a_at	LOC_Os01g68370
Os.12849.1.S1_at	LOC_Os01g68380
Os.12849.2.S1_x_at	LOC_Os01g68380
Os.39982.1.S1_at	LOC_Os01g68390
Os.36529.1.S1_at	LOC_Os01g68440
Os.23056.1.S1_at	LOC_Os01g68450
Os.23056.2.S1_x_at	LOC_Os01g68450
Os.11035.1.S1_at	LOC_Os01g68500
Os.33401.1.S1_at	LOC_Os01g68510
Os.33401.2.S1_x_at	LOC_Os01g68510
Os.7733.1.S1_at	LOC_Os01g68524
OsAffx.2438.1.S1_s_at	LOC_Os01g68524
Os.35889.1.S1_at	LOC_Os01g68545
Os.33210.1.S1_at	LOC_Os01g68570
Os.33210.2.S1_x_at	LOC_Os01g68570
Os.27932.1.S1_at	LOC_Os01g68580
Os.7317.2.S1_at	LOC_Os01g68589
Os.51597.1.S1_at	LOC_Os01g68598
Os.35017.2.S1_x_at	LOC_Os01g68620
Os.19016.1.S1_at	LOC_Os01g68630
OsAffx.23973.1.S1_at	LOC_Os01g68640
OsAffx.23973.1.S1_x_at	LOC_Os01g68640
Os.27232.1.S1_at	LOC_Os01g68650
Os.42764.1.S1_at	LOC_Os01g68660
Os.24610.1.S1_at	LOC_Os01g68670
OsAffx.2439.1.S1_at	LOC_Os01g68680
Os.5763.1.S1_at	LOC_Os01g68700
Os.55103.1.S1_x_at	LOC_Os01g68710
Os.7639.1.S1_at	LOC_Os01g68710
Os.19350.1.S1_at	LOC_Os01g68720
Os.18887.1.S1_at	LOC_Os01g68750
Os.18887.1.S2_at	LOC_Os01g68750
Os.25007.1.S1_a_at	LOC_Os01g68760
Os.25007.1.S2_a_at	LOC_Os01g68760
Os.25007.3.S1_x_at	LOC_Os01g68760
Os.8353.1.S1_at	LOC_Os01g68770
Os.2685.1.S1_at	LOC_Os01g68790
OsAffx.23976.1.S1_at	LOC_Os01g68800
Os.26433.1.S1_at	LOC_Os01g68810
Os.42759.1.S1_at	LOC_Os01g68830
Os.4958.1.A1_at	LOC_Os01g68830
OsAffx.21847.1.S1_s_at	LOC_Os01g68840
Os.19086.1.S1_a_at	LOC_Os01g68860
Os.19086.2.S1_x_at	LOC_Os01g68860
Os.19086.3.S1_x_at	LOC_Os01g68860
Os.23868.1.S1_at	LOC_Os01g68870
OsAffx.23977.1.S1_x_at	LOC_Os01g68890
Os.55775.1.S1_at	LOC_Os01g68930
Os.32732.1.S1_at	LOC_Os01g68940
Os.12426.1.S1_s_at	LOC_Os01g68950
Os.45905.1.S1_at	LOC_Os01g68960
OsAffx.23978.1.S1_at	LOC_Os01g68960
Os.10258.1.S1_at	LOC_Os01g68970
Os.3454.1.S1_at	LOC_Os01g69030
Os.27953.1.S1_x_at	LOC_Os01g69040
Os.11338.1.S1_at	LOC_Os01g69050
Os.11114.1.S1_at	LOC_Os01g69080
Os.50999.1.S1_at	LOC_Os01g69090
Os.4875.1.S1_at	LOC_Os01g69100
Os.50224.1.S1_at	LOC_Os01g69110
Os.27831.1.S1_at	LOC_Os01g69120
Os.19079.1.S1_at	LOC_Os01g69130
Os.55111.1.S1_at	LOC_Os01g69140
OsAffx.23981.1.S1_at	LOC_Os01g69210
Os.50010.1.S1_at	LOC_Os01g69220
Os.8161.1.S1_at	LOC_Os01g69230
Os.12984.1.S1_at	LOC_Os01g69250
Os.53512.1.S1_at	LOC_Os01g69279
Os.57009.1.S1_at	LOC_Os01g69290
Os.11203.1.S1_at	LOC_Os01g69830
OsAffx.23983.1.S1_at	LOC_Os01g69840
Os.4175.1.S1_at	LOC_Os01g69850
Os.10214.1.S1_at	LOC_Os01g69870
Os.27083.1.A1_at	LOC_Os01g69900
Os.18959.1.S1_at	LOC_Os01g69910
Os.18959.2.S1_at	LOC_Os01g69910
Os.18959.2.S1_x_at	LOC_Os01g69910
Os.12312.1.S1_at	LOC_Os01g69920
Os.46432.1.S1_s_at	LOC_Os01g69940
Os.5554.1.S1_at	LOC_Os01g69940
Os.46403.1.S1_at	LOC_Os01g69950
Os.4997.1.S1_s_at	LOC_Os01g69950
Os.51456.1.S1_at	LOC_Os01g69950
Os.23498.1.S1_at	LOC_Os01g69960
Os.6419.1.S1_at	LOC_Os01g69970
Os.17442.1.S1_at	LOC_Os01g69990
OsAffx.11801.1.S1_at	LOC_Os01g70010
Os.18596.1.S1_at	LOC_Os01g70020
Os.50767.1.S1_x_at	LOC_Os01g70020
Os.46177.1.S1_x_at	LOC_Os01g70060
Os.7001.1.S1_at	LOC_Os01g70060
Os.18822.1.A1_at	LOC_Os01g70090
Os.22715.1.S1_at	LOC_Os01g70100
Os.14047.1.S1_a_at	LOC_Os01g70110
Os.14047.1.S1_at	LOC_Os01g70110
Os.14047.2.S1_x_at	LOC_Os01g70110
Os.18673.1.S1_at	LOC_Os01g70140
Os.9535.2.S1_x_at	LOC_Os01g70160
Os.8049.1.S1_a_at	LOC_Os01g70170
Os.34126.1.S1_at	LOC_Os01g70180
Os.12406.1.S1_at	LOC_Os01g70190
Os.18736.1.S1_at	LOC_Os01g70200
Os.2215.1.S1_at	LOC_Os01g70210
Os.31816.2.S1_x_at	LOC_Os01g70220
Os.53542.1.S1_at	LOC_Os01g70240
Os.53542.1.S1_x_at	LOC_Os01g70240
Os.23698.1.A1_at	LOC_Os01g70250
Os.33220.1.S1_at	LOC_Os01g70260
Os.33220.2.S1_x_at	LOC_Os01g70260
Os.11696.1.S1_a_at	LOC_Os01g70270
Os.11696.1.S1_at	LOC_Os01g70270
Os.11696.2.S1_x_at	LOC_Os01g70270
Os.3448.1.S1_a_at	LOC_Os01g70300
Os.3448.2.S1_x_at	LOC_Os01g70300
Os.13595.1.S1_at	LOC_Os01g70310
Os.13595.2.S1_x_at	LOC_Os01g70310
Os.5280.1.S1_at	LOC_Os01g70320
Os.22821.1.S1_a_at	LOC_Os01g70330
OsAffx.23988.1.S1_at	LOC_Os01g70370
OsAffx.23988.1.S1_s_at	LOC_Os01g70370
Os.9796.1.S1_at	LOC_Os01g70380
Os.20144.3.S1_at	LOC_Os01g70390
Os.28544.1.S1_at	LOC_Os01g70430
Os.28544.2.S1_x_at	LOC_Os01g70430
Os.15295.3.S1_x_at	LOC_Os01g70460
Os.5458.1.A1_at	LOC_Os01g70470
Os.32749.2.S1_x_at	LOC_Os01g70480
Os.17158.1.S1_at	LOC_Os01g70490
Os.26537.2.S1_x_at	LOC_Os01g70520
Os.15260.1.S1_s_at	LOC_Os01g70550
Os.47972.1.S1_at	LOC_Os01g70560
Os.35284.1.S1_s_at	LOC_Os01g70570
Os.52120.1.S1_x_at	LOC_Os01g70580
Os.18167.1.A1_at	LOC_Os01g70670
OsAffx.28769.3.S1_at	LOC_Os01g70700
Os.10402.1.S1_x_at	LOC_Os01g70720
Os.38191.1.S1_at	LOC_Os01g70720
Os.38191.2.S1_at	LOC_Os01g70720
Os.28450.1.S1_at	LOC_Os01g70730
Os.21222.1.S1_at	LOC_Os01g70740
Os.4698.1.S1_at	LOC_Os01g70770
Os.15888.1.A1_at	LOC_Os01g70780
Os.11919.1.S1_at	LOC_Os01g70790
Os.11148.1.S1_at	LOC_Os01g70800
Os.18365.1.S1_at	LOC_Os01g70810
Os.18365.1.S2_at	LOC_Os01g70810
Os.37376.2.S1_x_at	LOC_Os01g70820
Os.33625.2.S1_at	LOC_Os01g70850
Os.33625.4.S1_at	LOC_Os01g70850
Os.3417.1.S1_at	LOC_Os01g70860
Os.24785.1.A1_at	LOC_Os01g70920
Os.24785.2.A1_at	LOC_Os01g70920
Os.24785.2.A1_x_at	LOC_Os01g70920
Os.6336.1.S1_at	LOC_Os01g70960
Os.9236.1.S1_at	LOC_Os01g70980
Os.38163.1.S1_at	LOC_Os01g71000
Os.10088.1.S1_a_at	LOC_Os01g71010
Os.28078.1.S1_at	LOC_Os01g71050
Os.53616.1.S1_at	LOC_Os01g71060
Os.30593.1.S1_at	LOC_Os01g71070
Os.18185.1.S1_at	LOC_Os01g71080
Os.4856.1.S1_at	LOC_Os01g71090
Os.27968.1.S1_at	LOC_Os01g71094
Os.27968.1.S1_x_at	LOC_Os01g71094
Os.50617.1.S2_x_at	LOC_Os01g71100
Os.34865.1.S1_s_at	LOC_Os01g71106
Os.34865.3.S1_x_at	LOC_Os01g71106
OsAffx.23995.1.S1_at	LOC_Os01g71106
Os.36248.1.S1_at	LOC_Os01g71140
OsAffx.11813.1.S1_at	LOC_Os01g71170
Os.25590.1.S1_at	LOC_Os01g71190
Os.33686.1.S1_at	LOC_Os01g71200
Os.51276.1.S1_x_at	LOC_Os01g71210
Os.53646.1.S1_at	LOC_Os01g71220
Os.12071.1.S1_at	LOC_Os01g71230
Os.33291.1.S1_a_at	LOC_Os01g71256
Os.55362.1.S1_at	LOC_Os01g71262
Os.48006.1.S1_at	LOC_Os01g71270
Os.11390.1.S1_at	LOC_Os01g71280
Os.18519.1.S1_at	LOC_Os01g71300
Os.52037.1.S1_at	LOC_Os01g71320
OsAffx.23999.1.S1_x_at	LOC_Os01g71320
Os.53046.1.S1_at	LOC_Os01g71330
Os.53046.1.S1_s_at	LOC_Os01g71330
Os.13966.1.S1_x_at	LOC_Os01g71420
Os.54192.1.S1_x_at	LOC_Os01g71420
OsAffx.32010.1.S1_at	LOC_Os01g71620
OsAffx.32010.3.S1_x_at	LOC_Os01g71620
Os.32596.3.S1_x_at	LOC_Os01g71624
Os.27078.1.S1_at	LOC_Os01g71630
Os.27078.1.S1_s_at	LOC_Os01g71630
Os.27078.1.S1_x_at	LOC_Os01g71630
Os.27078.2.S1_x_at	LOC_Os01g71630
Os.1385.1.S1_at	LOC_Os01g71670
Os.25266.1.S1_at	LOC_Os01g71690
Os.42832.1.S1_at	LOC_Os01g71690
OsAffx.11817.3.S1_at	LOC_Os01g71710
OsAffx.11817.3.S1_x_at	LOC_Os01g71710
Os.18689.1.S1_at	LOC_Os01g71740
Os.8935.1.S1_at	LOC_Os01g71770
Os.8935.2.S1_x_at	LOC_Os01g71770
Os.33738.1.S1_at	LOC_Os01g71780
Os.34520.1.S1_at	LOC_Os01g71790
Os.52384.1.A1_at	LOC_Os01g71930
Os.57379.1.S1_at	LOC_Os01g71960
OsAffx.24009.1.S1_at	LOC_Os01g71980
Os.7012.1.S1_at	LOC_Os01g72000
Os.12279.1.S1_a_at	LOC_Os01g72009
Os.12279.2.S1_a_at	LOC_Os01g72009
Os.49276.1.S1_at	LOC_Os01g72020
OsAffx.24010.1.S1_x_at	LOC_Os01g72020
Os.52862.1.S1_at	LOC_Os01g72049
Os.54185.1.S1_at	LOC_Os01g72049
Os.12000.1.S1_at	LOC_Os01g72080
Os.15397.1.S1_at	LOC_Os01g72090
OsAffx.2460.1.S1_x_at	LOC_Os01g72090
Os.20355.1.S1_at	LOC_Os01g72100
Os.24890.1.S1_at	LOC_Os01g72120
Os.24890.1.S2_at	LOC_Os01g72130
OsAffx.24011.1.S1_at	LOC_Os01g72150
Os.52054.1.S1_at	LOC_Os01g72160
Os.11303.1.S1_at	LOC_Os01g72170
Os.11303.1.S1_s_at	LOC_Os01g72170
Os.24603.1.A1_at	LOC_Os01g72190
Os.23711.1.S1_at	LOC_Os01g72200
Os.49448.1.S1_at	LOC_Os01g72210
Os.24943.1.S1_at	LOC_Os01g72230
Os.4468.1.S1_at	LOC_Os01g72240
Os.3769.1.S1_a_at	LOC_Os01g72250
Os.20313.1.S1_x_at	LOC_Os01g72290
Os.34890.1.S1_at	LOC_Os01g72310
Os.34890.1.S1_x_at	LOC_Os01g72310
Os.48364.1.S1_at	LOC_Os01g72310
Os.6169.1.S1_at	LOC_Os01g72320
Os.15908.1.S1_s_at	LOC_Os01g72330
Os.28112.1.S1_at	LOC_Os01g72340
Os.32632.1.S1_a_at	LOC_Os01g72350
Os.26479.1.A1_a_at	LOC_Os01g72430
Os.24906.1.S1_at	LOC_Os01g72460
Os.51382.1.S1_at	LOC_Os01g72470
Os.10877.1.S1_at	LOC_Os01g72480
Os.9355.1.S1_at	LOC_Os01g72490
Os.49135.1.S1_at	LOC_Os01g72520
Os.18922.2.S1_at	LOC_Os01g72530
Os.10378.1.A1_at	LOC_Os01g72570
Os.10378.2.A1_s_at	LOC_Os01g72570
Os.10378.3.S1_s_at	LOC_Os01g72570
Os.18229.1.S1_at	LOC_Os01g72610
Os.8818.1.S1_at	LOC_Os01g72650
Os.8818.2.S1_x_at	LOC_Os01g72650
Os.38326.1.A1_a_at	LOC_Os01g72670
Os.7395.1.S1_s_at	LOC_Os01g72690
Os.43021.1.S1_at	LOC_Os01g72700
Os.53589.1.S1_at	LOC_Os01g72710
Os.26898.1.S1_at	LOC_Os01g72780
Os.14473.1.S1_a_at	LOC_Os01g72790
Os.25239.1.S1_a_at	LOC_Os01g72800
Os.18006.1.S1_a_at	LOC_Os01g72810
Os.32046.1.S1_at	LOC_Os01g72820
Os.32046.2.S1_at	LOC_Os01g72820
Os.32046.3.S1_at	LOC_Os01g72820
Os.32046.4.S1_x_at	LOC_Os01g72820
Os.6252.1.S1_at	LOC_Os01g72834
Os.19279.1.S1_at	LOC_Os01g72860
Os.19279.2.S1_x_at	LOC_Os01g72860
Os.48288.1.S1_at	LOC_Os01g72870
OsAffx.9748.1.S1_x_at	LOC_Os01g72870
Os.10900.1.S1_at	LOC_Os01g72880
Os.22513.1.S1_a_at	LOC_Os01g72890
Os.22513.1.S1_at	LOC_Os01g72890
Os.22513.2.S1_x_at	LOC_Os01g72890
OsAffx.24019.1.S1_x_at	LOC_Os01g72890
Os.27963.1.A1_at	LOC_Os01g72900
Os.7372.1.S1_at	LOC_Os01g72910
Os.43012.1.A1_at	LOC_Os01g72940
Os.15864.1.S1_s_at	LOC_Os01g72950
Os.5845.1.S1_at	LOC_Os01g72960
Os.20750.1.S1_at	LOC_Os01g72970
Os.37762.1.S1_a_at	LOC_Os01g72980
Os.37762.1.S1_at	LOC_Os01g72980
Os.37762.2.S1_x_at	LOC_Os01g72980
Os.15212.1.A1_a_at	LOC_Os01g72990
Os.7525.1.S1_at	LOC_Os01g73000
OsAffx.11835.1.S1_x_at	LOC_Os01g73000
OsAffx.24021.1.S1_at	LOC_Os01g73005
Os.36673.1.S1_at	LOC_Os01g73024
Os.26443.1.S1_at	LOC_Os01g73040
Os.52610.1.S1_at	LOC_Os01g73060
Os.27122.1.S1_a_at	LOC_Os01g73080
Os.27122.3.S1_x_at	LOC_Os01g73080
Os.29815.2.S1_x_at	LOC_Os01g73110
Os.18681.1.S1_at	LOC_Os01g73120
Os.5520.1.S1_at	LOC_Os01g73140
Os.23226.1.S1_at	LOC_Os01g73150
Os.15262.1.S1_at	LOC_Os01g73160
Os.15894.1.A1_a_at	LOC_Os01g73170
Os.15894.1.A2_at	LOC_Os01g73170
OsAffx.21931.1.S1_at	LOC_Os01g73220
Os.7689.1.S1_a_at	LOC_Os01g73230
Os.49273.1.S1_at	LOC_Os01g73234
Os.31324.1.S1_at	LOC_Os01g73270
Os.53619.1.S1_at	LOC_Os01g73300
Os.18675.1.S1_at	LOC_Os01g73310
Os.31375.1.S1_at	LOC_Os01g73410
Os.31375.1.S2_at	LOC_Os01g73410
Os.6110.1.S1_at	LOC_Os01g73420
Os.11630.1.S1_at	LOC_Os01g73450
Os.26985.1.S1_at	LOC_Os01g73460
Os.5947.1.S1_at	LOC_Os01g73470
Os.31132.1.S1_at	LOC_Os01g73490
Os.15641.1.S1_at	LOC_Os01g73500
Os.20353.1.S1_a_at	LOC_Os01g73514
Os.19501.2.S1_x_at	LOC_Os01g73530
Os.28988.1.S1_a_at	LOC_Os01g73530
Os.28988.1.S1_at	LOC_Os01g73530
Os.28988.2.S1_x_at	LOC_Os01g73530
Os.12130.1.S1_at	LOC_Os01g73550
Os.13960.1.S1_a_at	LOC_Os01g73560
Os.13960.1.S1_at	LOC_Os01g73560
Os.13960.2.S1_s_at	LOC_Os01g73560
Os.13960.2.S1_x_at	LOC_Os01g73560
Os.8280.1.S1_at	LOC_Os01g73570
Os.8280.1.S1_x_at	LOC_Os01g73570
Os.8280.2.S1_x_at	LOC_Os01g73570
Os.12693.4.S1_at	LOC_Os01g73620
Os.15240.1.A1_x_at	LOC_Os01g73620
Os.30910.1.S1_at	LOC_Os01g73630
Os.7590.1.S1_at	LOC_Os01g73644
Os.32551.2.S1_at	LOC_Os01g73656
Os.8761.1.S1_s_at	LOC_Os01g73670
Os.8761.2.S1_at	LOC_Os01g73670
Os.8761.3.S1_x_at	LOC_Os01g73670
Os.42977.1.S1_at	LOC_Os01g73720
Os.42975.1.S1_at	LOC_Os01g73730
Os.42975.1.S1_x_at	LOC_Os01g73730
Os.8794.1.S1_at	LOC_Os01g73760
Os.8794.3.S1_x_at	LOC_Os01g73760
Os.8226.1.S1_at	LOC_Os01g73780
Os.4743.1.S1_at	LOC_Os01g73790
Os.48590.1.A1_at	LOC_Os01g73800
OsAffx.24034.1.S1_x_at	LOC_Os01g73830
Os.7677.1.S1_x_at	LOC_Os01g73840
OsAffx.2472.2.S1_at	LOC_Os01g73860
Os.414.1.S1_at	LOC_Os01g73880
OsAffx.24035.1.S1_s_at	LOC_Os01g73890
Os.45984.1.S1_at	LOC_Os01g73900
Os.45984.1.S1_x_at	LOC_Os01g73900
OsAffx.20285.3.S1_at	LOC_Os01g73900
Os.12771.1.S1_at	LOC_Os01g73910
Os.12303.1.S1_at	LOC_Os01g73940
Os.8261.1.S1_at	LOC_Os01g73950
Os.8261.2.S1_at	LOC_Os01g73950
Os.11921.1.S1_at	LOC_Os01g73960
Os.42960.1.S1_x_at	LOC_Os01g73960
Os.10616.1.S1_a_at	LOC_Os01g73970
Os.10616.2.S1_x_at	LOC_Os01g73970
Os.9015.1.S1_at	LOC_Os01g73980
Os.45964.1.S1_at	LOC_Os01g73990
Os.24891.1.A1_at	LOC_Os01g74000
Os.24891.2.S1_x_at	LOC_Os01g74000
Os.14644.1.S1_a_at	LOC_Os01g74010
Os.14644.1.S1_at	LOC_Os01g74010
Os.49746.1.S1_at	LOC_Os01g74020
Os.14111.1.S1_s_at	LOC_Os01g74030
Os.38236.1.S1_at	LOC_Os01g74040
Os.36888.1.S1_at	LOC_Os01g74120
Os.30006.1.S1_at	LOC_Os01g74146
Os.42953.1.S1_x_at	LOC_Os01g74152
Os.6435.1.S1_at	LOC_Os01g74152
Os.48917.1.A1_at	LOC_Os01g74170
OsAffx.11845.3.S1_s_at	LOC_Os01g74170
Os.48009.1.S1_at	LOC_Os01g74180
Os.54206.1.A1_at	LOC_Os01g74180
Os.54206.1.A1_x_at	LOC_Os01g74180
Os.8554.1.S1_at	LOC_Os01g74190
Os.8554.2.S1_x_at	LOC_Os01g74190
Os.34947.1.S1_at	LOC_Os01g74200
Os.34947.2.S1_x_at	LOC_Os01g74200
Os.7672.1.S1_at	LOC_Os01g74250
Os.27390.1.S1_a_at	LOC_Os01g74280
Os.12410.1.S1_a_at	LOC_Os01g74300
Os.12410.1.S1_x_at	LOC_Os01g74300
Os.12410.3.S1_s_at	LOC_Os01g74300
Os.26657.1.A1_at	LOC_Os01g74310
Os.26657.1.A1_s_at	LOC_Os01g74310
Os.42948.1.S1_x_at	LOC_Os01g74310
OsAffx.24039.1.S1_at	LOC_Os01g74310
OsAffx.24039.2.S1_x_at	LOC_Os01g74310
Os.32105.1.S1_at	LOC_Os01g74320
Os.27785.1.A1_at	LOC_Os01g74330
Os.39098.1.S1_x_at	LOC_Os01g74330
Os.21875.1.S1_at	LOC_Os01g74340
OsAffx.24040.1.S1_s_at	LOC_Os01g74340
Os.6640.1.S1_at	LOC_Os01g74350
OsAffx.11847.1.S1_at	LOC_Os01g74350
Os.32602.1.S1_at	LOC_Os01g74370
Os.32602.2.S1_x_at	LOC_Os01g74370
Os.7475.1.S1_at	LOC_Os01g74450
Os.52442.1.A1_at	LOC_Os01g74460
Os.25416.1.A1_at	LOC_Os01g74470
Os.52865.1.S1_at	LOC_Os01g74470
Os.18214.1.S1_at	LOC_Os01g74480
Os.48758.1.A1_s_at	LOC_Os01g74490
Os.33444.1.A1_at	LOC_Os01g74510
Os.14216.3.S1_x_at	LOC_Os01g74520
Os.53500.1.S1_at	LOC_Os01g74520
Os.14216.1.S1_a_at	LOC_Os01g74530
Os.14216.1.S1_at	LOC_Os01g74530
Os.42941.1.S1_s_at	LOC_Os01g74540
OsAffx.9724.1.S1_at	LOC_Os01g74570
Os.33222.1.S1_at	LOC_Os01g74600
Os.19202.1.S1_a_at	LOC_Os01g74610
Os.26470.2.A1_x_at	LOC_Os01g74640
Os.47876.1.A1_x_at	LOC_Os01g74650
Os.6173.1.S1_at	LOC_Os01g74650
Os.6173.2.S1_x_at	LOC_Os01g74650
Os.5806.1.S1_at	LOC_Os01g74660
OsAffx.11849.1.S1_s_at	LOC_Os01g74670
Os.13477.1.S1_at	LOC_Os02g01010
Os.20689.1.S1_at	LOC_Os02g01020
Os.11705.1.S1_at	LOC_Os02g01030
OsAffx.11854.1.S1_x_at	LOC_Os02g01030
Os.16004.1.S1_at	LOC_Os02g01060
Os.52725.2.S1_at	LOC_Os02g01070
Os.15409.1.S1_at	LOC_Os02g01080
Os.18993.2.S1_at	LOC_Os02g01100
Os.18993.2.S1_x_at	LOC_Os02g01100
Os.24513.1.A1_at	LOC_Os02g01110
OsAffx.11855.1.S1_at	LOC_Os02g01120
Os.54560.1.S1_at	LOC_Os02g01130
Os.7218.1.S1_at	LOC_Os02g01150
Os.28066.1.S1_s_at	LOC_Os02g01170
Os.28066.1.S2_at	LOC_Os02g01170
OsAffx.11856.1.S1_x_at	LOC_Os02g01170
Os.23925.1.S1_at	LOC_Os02g01180
Os.20298.1.S1_at	LOC_Os02g01190
Os.9579.1.S1_at	LOC_Os02g01250
Os.4982.1.S1_at	LOC_Os02g01332
Os.7515.1.S1_s_at	LOC_Os02g01350
Os.10797.1.S1_at	LOC_Os02g01380
Os.27378.1.A1_at	LOC_Os02g01440
Os.53110.1.S1_at	LOC_Os02g01450
Os.50997.1.A1_x_at	LOC_Os02g01480
Os.54334.1.S1_at	LOC_Os02g01480
Os.51720.1.S1_at	LOC_Os02g01500
Os.10215.1.S1_at	LOC_Os02g01510
Os.50278.1.S1_at	LOC_Os02g01520
Os.50278.2.S1_at	LOC_Os02g01520
Os.12238.1.S1_at	LOC_Os02g01560
Os.12238.2.S1_x_at	LOC_Os02g01560
OsAffx.24050.1.S1_at	LOC_Os02g01700
Os.18186.1.S1_at	LOC_Os02g01710
Os.20935.1.S1_at	LOC_Os02g01720
Os.9094.1.S2_at	LOC_Os02g01790
Os.9094.1.S2_s_at	LOC_Os02g01790
OsAffx.24054.1.S1_at	LOC_Os02g01810
OsAffx.24054.1.S1_x_at	LOC_Os02g01810
Os.53775.1.S1_at	LOC_Os02g01890
Os.10543.1.S1_at	LOC_Os02g01920
Os.50322.1.S1_at	LOC_Os02g01930
OsAffx.11862.1.S1_at	LOC_Os02g01940
Os.20525.1.S1_at	LOC_Os02g01960
Os.7241.1.S1_at	LOC_Os02g02020
Os.6801.2.S1_x_at	LOC_Os02g02040
Os.23574.1.S1_at	LOC_Os02g02050
Os.50672.1.S2_x_at	LOC_Os02g02140
OsAffx.24060.1.S1_at	LOC_Os02g02160
Os.12135.1.S1_at	LOC_Os02g02290
Os.23156.1.S1_at	LOC_Os02g02320
Os.14099.1.S1_a_at	LOC_Os02g02350
Os.8955.1.S1_at	LOC_Os02g02360
Os.11671.1.S1_at	LOC_Os02g02390
Os.9172.1.S1_x_at	LOC_Os02g02400
Os.9172.2.S1_at	LOC_Os02g02400
Os.9172.2.S1_x_at	LOC_Os02g02400
Os.1311.1.S1_at	LOC_Os02g02410
Os.18086.1.A1_at	LOC_Os02g02424
Os.7996.1.S1_at	LOC_Os02g02450
Os.49670.1.S1_at	LOC_Os02g02500
Os.8844.1.S1_at	LOC_Os02g02510
Os.19594.1.A1_at	LOC_Os02g02520
OsAffx.11866.1.S1_at	LOC_Os02g02524
Os.28063.1.S1_at	LOC_Os02g02530
Os.21831.1.S1_at	LOC_Os02g02540
Os.51729.1.S1_at	LOC_Os02g02570
Os.52758.1.S1_at	LOC_Os02g02580
Os.52649.1.A1_at	LOC_Os02g02590
Os.39168.1.S1_at	LOC_Os02g02600
Os.51842.1.S1_at	LOC_Os02g02620
Os.51108.1.S1_at	LOC_Os02g02690
Os.9153.1.S1_at	LOC_Os02g02700
Os.24694.1.S1_at	LOC_Os02g02710
Os.55372.1.S1_x_at	LOC_Os02g02730
Os.25440.1.S1_at	LOC_Os02g02740
Os.25440.1.S1_x_at	LOC_Os02g02740
OsAffx.11868.1.S1_at	LOC_Os02g02740
Os.25097.1.S1_at	LOC_Os02g02750
Os.52476.1.S2_at	LOC_Os02g02770
Os.26226.1.S1_at	LOC_Os02g02780
Os.56801.1.S1_at	LOC_Os02g02790
OsAffx.2489.1.S1_s_at	LOC_Os02g02810
Os.22788.1.S1_at	LOC_Os02g02830
Os.2448.1.S1_at	LOC_Os02g02840
OsAffx.24073.1.S1_at	LOC_Os02g02850
Os.7227.1.S1_at	LOC_Os02g02860
Os.4724.1.S1_at	LOC_Os02g02870
Os.11422.1.S1_at	LOC_Os02g02880
Os.4157.1.S1_at	LOC_Os02g02890
Os.4157.1.S1_s_at	LOC_Os02g02890
Os.57490.1.A1_x_at	LOC_Os02g02890
Os.57490.1.S1_x_at	LOC_Os02g02890
OsAffx.11869.1.S1_at	LOC_Os02g02900
Os.52234.1.S1_at	LOC_Os02g02910
Os.8939.1.S1_s_at	LOC_Os02g02920
Os.5096.1.S1_at	LOC_Os02g02940
Os.56181.1.S1_at	LOC_Os02g02950
Os.11527.1.S1_at	LOC_Os02g02960
OsAffx.24074.1.S1_at	LOC_Os02g02970
OsAffx.2490.1.S1_at	LOC_Os02g02980
Os.16237.1.S1_at	LOC_Os02g02990
OsAffx.24075.1.S1_at	LOC_Os02g03000
OsAffx.24076.1.S1_s_at	LOC_Os02g03010
OsAffx.11871.1.S1_s_at	LOC_Os02g03020
OsAffx.24077.1.S1_at	LOC_Os02g03030
Os.14104.1.A1_a_at	LOC_Os02g03040
Os.49378.1.S1_at	LOC_Os02g03050
Os.3428.1.S1_x_at	LOC_Os02g03060
Os.3428.2.S1_at	LOC_Os02g03060
Os.10080.1.S1_at	LOC_Os02g03070
OsAffx.24079.1.S1_at	LOC_Os02g03090
Os.5272.1.S1_at	LOC_Os02g03100
Os.18465.1.S1_at	LOC_Os02g03110
Os.18465.2.S1_x_at	LOC_Os02g03110
Os.18338.1.S1_at	LOC_Os02g03200
Os.51980.1.S1_at	LOC_Os02g03220
Os.11750.1.A1_at	LOC_Os02g03230
Os.51258.1.S1_at	LOC_Os02g03250
Os.8913.1.S1_at	LOC_Os02g03260
Os.5123.1.S1_at	LOC_Os02g03270
Os.6263.1.S1_at	LOC_Os02g03280
Os.12044.1.S1_at	LOC_Os02g03330
Os.27310.1.S1_at	LOC_Os02g03340
Os.49238.1.S1_at	LOC_Os02g03370
